ano;causa_acidente;acidentes;mortos
2023;NAO INFORMADO;67661;2151
2023;COLISAO;192433;3117
2023;COLISAO FRONTAL;72671;1751
2023;OUTROS ACIDENTES DE TRANSITO;90255;746
2024;CAPOTAMENTO;7969;912
2022;QUEDA;55135;1059
2022;ATROPELAMENTO COM ANIMAIS;7056;226
2022;ENGAVETAMENTO;8859;61
2025;COLISAO TRASEIRA;83974;386
2026;ENGAVETAMENTO;388;1
2026;QUEDA;1232;41
2026;ATROPELAMENTO COM ANIMAIS;728;12
2021;CAPOTAMENTO;14680;1016
2019;ATROPELAMENTO COM PEDESTRE;39561;4484
2019;ACIDENTE PESSOAL DE TRANSITO COM PEDESTRE;304;49
2020;COLISAO LATERAL;110768;926
2020;COLISAO TRANSVERSAL;38042;622
2024;COLISAO;180801;2767
2024;OUTROS ACIDENTES DE TRANSITO;47823;664
2024;NAO INFORMADO;69978;2533
2025;ATROPELAMENTO COM PEDESTRE;14994;1434
2026;CHOQUE;8103;58
2026;TOMBAMENTO;654;12
2018;COLISAO LATERAL;95956;1093
2018;COLISAO TRANSVERSAL;48577;577
2022;CHOQUE;44879;2113
2022;TOMBAMENTO;11894;771
2022;DESCONHECIDO;325897;3714
2021;COLISAO;175690;2943
2023;CAPOTAMENTO;9821;843
2019;COLISAO TRASEIRA;81780;786
2021;COLISAO FRONTAL;52144;2059
2021;OUTROS ACIDENTES DE TRANSITO;90422;858
2021;NAO INFORMADO;55131;3634
2024;COLISAO FRONTAL;104407;2242
2026;DESCONHECIDO;31890;686
2025;ACIDENTE PESSOAL DE TRANSITO COM PEDESTRE;10;0
2020;NAO INFORMADO;45767;2193
2020;OUTROS ACIDENTES DE TRANSITO;43272;1622
2020;COLISAO FRONTAL;75663;2107
2020;COLISAO;149000;3353
2024;COLISAO LATERAL;135272;944
2025;CHOQUE;111185;1134
2025;TOMBAMENTO;9236;423
2026;ATROPELAMENTO COM PEDESTRE;894;80
2018;COLISAO;117896;3840
2018;COLISAO FRONTAL;55104;2163
2018;NAO INFORMADO;67467;4292
2022;ATROPELAMENTO COM PEDESTRE;27620;3114
2018;OUTROS ACIDENTES DE TRANSITO;38861;1715
2025;DESCONHECIDO;417344;10142
2019;ATROPELAMENTO COM ANIMAIS;9485;180
2019;QUEDA;23323;910
2019;ENGAVETAMENTO;5778;48
2021;COLISAO LATERAL;73453;881
2021;COLISAO TRANSVERSAL;32239;528
2024;COLISAO TRANSVERSAL;47182;634
2022;ACIDENTE PESSOAL DE TRANSITO COM PEDESTRE;5;1
2020;ATROPELAMENTO COM PEDESTRE;28675;3349
2023;QUEDA;43787;629
2023;ENGAVETAMENTO;7081;68
2024;CHOQUE;122311;2274
2024;TOMBAMENTO;18911;1016
2025;COLISAO LATERAL;111512;554
2026;COLISAO;11464;135
2026;NAO INFORMADO;1464;48
2026;OUTROS ACIDENTES DE TRANSITO;3921;52
2018;ATROPELAMENTO COM PEDESTRE;27122;4213
2022;COLISAO;191651;3925
2022;OUTROS ACIDENTES DE TRANSITO;134929;1371
2022;NAO INFORMADO;56025;2586
2022;COLISAO FRONTAL;41443;1395
2025;COLISAO TRANSVERSAL;45058;359
2026;COLISAO FRONTAL;6718;102
2021;DESCONHECIDO;312973;4864
2021;CHOQUE;66003;2133
2021;TOMBAMENTO;12520;727
2023;ATROPELAMENTO COM ANIMAIS;8030;320
2024;DESCONHECIDO;267219;4286
2018;ACIDENTE PESSOAL DE TRANSITO COM PEDESTRE;285;47
2020;QUEDA;19659;896
2020;ENGAVETAMENTO;5576;42
2020;ATROPELAMENTO COM ANIMAIS;7414;186
2023;ATROPELAMENTO COM PEDESTRE;29247;2857
2025;CAPOTAMENTO;7988;631
