ano;condicao_metereologica;acidentes;mortos
2023;NUBLADO;7192;165
2024;NAO INFORMADO;582652;9237
2020;CHUVA;11175;248
2025;NEVOEIRO  NEVOA OU FUMACA;954;53
2021;NAO INFORMADO;524367;12282
2019;GAROACHUVISCO;3206;75
2022;DESCONHECIDAS;167325;5486
2026;DESCONHECIDAS;11175;414
2018;CHUVA;2106;71
2019;NEVE;4;0
2023;CHUVA;19304;346
2020;NUBLADO;3554;62
2019;DESCONHECIDAS;199955;4165
2025;OUTRAS CONDICOES;100097;624
2025;CLARO;254359;4870
2022;GAROACHUVISCO;3225;116
2026;GAROACHUVISCO;198;9
2018;NUBLADO;4352;104
2025;VENTOS FORTES;45;1
2019;GRANIZO;2;0
2022;NEVE;3;0
2024;CLARO;272465;5300
2020;GAROACHUVISCO;2428;64
2021;CLARO;248317;6826
2021;OUTRAS CONDICOES;81255;748
2022;NUBLADO;7295;171
2024;OUTRAS CONDICOES;102173;743
2024;VENTOS FORTES;38;1
2019;CHUVA;10834;356
2023;DESCONHECIDAS;184499;7095
2026;NUBLADO;666;13
2018;GAROACHUVISCO;2910;64
2018;NEVE;4;0
2021;VENTOS FORTES;37;0
2023;NEVOEIRO  NEVOA OU FUMACA;1188;56
2024;GAROACHUVISCO;3191;96
2019;NAO INFORMADO;565542;16050
2020;CLARO;174942;4211
2020;OUTRAS CONDICOES;78381;761
2025;NUBLADO;5907;118
2018;CLARO;57462;2396
2021;GAROACHUVISCO;2670;96
2018;OUTRAS CONDICOES;74932;720
2020;VENTOS FORTES;26;0
2024;NEVE;2;0
2021;NEVE;1;0
2018;NAO INFORMADO;493806;15599
2024;CHUVA;19663;365
2020;NAO INFORMADO;500852;13815
2019;CLARO;170316;4983
2021;CHUVA;16065;333
2022;NEVOEIRO  NEVOA OU FUMACA;980;37
2019;OUTRAS CONDICOES;79360;734
2025;DESCONHECIDAS;166001;6586
2019;VENTOS FORTES;8;0
2026;NEVOEIRO  NEVOA OU FUMACA;57;3
2025;GRANIZO;4;1
2023;NAO INFORMADO;594141;8773
2024;NUBLADO;6505;171
2025;GAROACHUVISCO;2863;69
2021;NUBLADO;5542;191
2022;CLARO;282908;6166
2022;OUTRAS CONDICOES;80920;615
2019;NEVOEIRO  NEVOA OU FUMACA;784;48
2026;CLARO;16690;292
2022;VENTOS FORTES;34;0
2026;VENTOS FORTES;4;0
2026;OUTRAS CONDICOES;7655;39
2023;GAROACHUVISCO;3154;87
2024;NEVOEIRO  NEVOA OU FUMACA;1032;48
2019;NUBLADO;5066;112
2021;NEVOEIRO  NEVOA OU FUMACA;839;44
2022;CHUVA;21835;351
2025;NAO INFORMADO;625984;8510
2026;CHUVA;2658;46
2018;DESCONHECIDAS;113331;7175
2020;DESCONHECIDAS;160709;4681
2023;NEVE;2;0
2020;GRANIZO;2;2
2018;GRANIZO;1;0
2023;CLARO;280358;4464
2020;NEVOEIRO  NEVOA OU FUMACA;481;31
2023;OUTRAS CONDICOES;95668;801
2025;CHUVA;15079;324
2022;NAO INFORMADO;544972;10525
2021;DESCONHECIDAS;163066;4200
2024;DESCONHECIDAS;168121;7274
2026;NAO INFORMADO;46657;516
2018;NEVOEIRO  NEVOA OU FUMACA;253;6
2023;VENTOS FORTES;37;0
2021;GRANIZO;2;0
2024;GRANIZO;1;0
