ano;regiao;acidentes;mortos;feridos
2023;NORDESTE;107251;5635;126270
2024;CENTRO-OESTE;184263;2452;298371
2025;SUDESTE;550674;10387;569481
2022;SUL;285222;3868;465631
2021;CENTRO-OESTE;157503;1817;245900
2022;NORTE;60630;1840;111800
2026;SUL;26843;199;47507
2026;NORTE;1264;29;2481
2018;NORDESTE;116969;9378;141896
2020;NORDESTE;67046;7048;82206
2019;NORTE;52486;2101;65520
2019;SUL;233695;3792;434487
2025;NORDESTE;58394;4106;82861
2023;SUDESTE;551154;9617;583169
2019;CENTRO-OESTE;127352;1925;183561
2026;NORDESTE;2736;147;4554
2022;NORDESTE;96213;6765;114137
2023;NORTE;48330;1284;86209
2023;SUL;297676;3413;413456
2018;CENTRO-OESTE;110951;2043;147745
2026;SUDESTE;42919;783;44728
2020;CENTRO-OESTE;151562;1851;233541
2022;SUDESTE;500253;8915;674576
2025;SUL;347534;3756;617512
2025;NORTE;27665;724;51996
2020;SUDESTE;440514;8871;693182
2022;CENTRO-OESTE;167179;2079;264843
2026;CENTRO-OESTE;11998;174;19648
2018;SUDESTE;362057;10066;549688
2024;SUL;271594;3315;400609
2024;NORTE;45459;1186;84463
2021;SUL;262075;3942;479789
2021;NORTE;53205;2175;93460
2021;SUDESTE;484395;8315;661543
2025;CENTRO-OESTE;187026;2183;311033
2019;NORDESTE;102839;8355;125847
2024;SUDESTE;559250;10332;544012
2018;NORTE;55948;2204;65892
2018;SUL;103232;2444;204292
2020;SUL;220874;3574;408636
2020;NORTE;52554;2531;68331
2024;NORDESTE;95277;5950;117604
2023;CENTRO-OESTE;181132;1838;291965
2019;SUDESTE;518705;10350;808639
2021;NORDESTE;84983;8471;99158
