ano;uf;acidentes;mortos;feridos;pessoas
2007;(null);5;3;8;15
2007;AC;324;20;306;766
2007;AL;1604;132;1241;3563
2007;AM;173;12;160;484
2007;AP;150;15;179;419
2007;BA;7088;605;5120;17371
2007;CE;2261;182;1649;4891
2007;DF;1139;67;968;2724
2007;ES;6243;217;3360;13255
2007;GO;5608;325;4254;11724
2007;MA;2112;277;1681;4667
2007;MG;20602;1032;14568;41079
2007;MS;2299;155;1774;5296
2007;MT;2638;223;1842;5629
2007;PA;3128;151;1733;6868
2007;PB;2696;164;1898;5853
2007;PE;4765;356;2944;10112
2007;PI;1881;148;1296;3785
2007;PR;7074;333;5372;14855
2007;RJ;11670;480;5063;24023
2007;RN;3067;168;1610;6647
2007;RO;2082;85;1654;4511
2007;RR;458;51;450;1198
2007;RS;11040;353;5786;22173
2007;SC;14587;587;9790;30607
2007;SE;1159;102;720;2618
2007;SP;11110;402;5323;21642
2007;TO;712;97;558;1543
2008;(null);3;0;7;8
2008;AC;353;13;310;845
2008;AL;1778;102;1258;3983
2008;AM;194;11;188;521
2008;AP;168;13;210;498
2008;BA;7629;660;5066;18903
2008;CE;2691;193;1913;5995
2008;DF;1044;49;963;2523
2008;ES;6381;208;3486;13656
2008;GO;6455;391;4540;13536
2008;MA;2292;248;1655;5196
2008;MG;22711;1142;15323;45162
2008;MS;2635;174;1994;6235
2008;MT;3110;233;2108;6811
2008;PA;3299;174;1634;7360
2008;PB;3325;185;2130;7027
2008;PE;5321;376;3249;11597
2008;PI;2030;165;1397;4176
2008;PR;9684;292;5457;19417
2008;RJ;13436;487;5378;28148
2008;RN;2874;139;1415;6163
2008;RO;2430;117;1963;5513
2008;RR;313;33;321;844
2008;RS;11254;398;5936;23497
2008;SC;15597;539;10093;32611
2008;SE;1232;81;781;2809
2008;SP;11981;394;5283;24010
2008;TO;823;97;581;1760
2009;AC;365;31;356;973
2009;AL;1914;125;1489;4269
2009;AM;199;11;184;639
2009;AP;161;9;202;442
2009;BA;8208;638;5226;19833
2009;CE;2914;141;1827;6490
2009;DF;1228;43;998;3085
2009;ES;6746;220;3677;14448
2009;GO;7179;451;5216;15621
2009;MA;2319;279;1751;5243
2009;MG;25079;1214;16516;50423
2009;MS;2836;177;2054;6618
2009;MT;3565;226;2251;7684
2009;PA;3413;169;1791;7862
2009;PB;3546;202;2314;7592
2009;PE;5984;429;3643;13174
2009;PI;2216;199;1423;4624
2009;PR;15609;558;8536;31926
2009;RJ;14207;469;5827;29716
2009;RN;3315;140;1683;7189
